"area_familia","modalidad","canton","provincia","num_cap_cer","volumen_capacitados","total_horas","total_ganancias","%_asistencia","carga_horaria","costo","anio","total_cursos","prediction(total_cursos)"
"construcción e infraestructura","presencial","quito","pichincha",34.0,52.0,1360.0,0.0,0.0,40.0,0.0,2021.0,4.0,4.666666666666667
"servicios socioculturales y a la comunidad","online","guayaquil","guayas",244.0,249.0,9760.0,0.0,0.0,40.0,0.0,2021.0,2.0,4.111111111111111
"educación y capacitación","presencial","quito","pichincha",23.0,495.0,1380.0,0.0,0.0,60.0,0.0,2021.0,10.0,12.0
"educación y capacitación","presencial","quito","pichincha",9.0,495.0,270.0,0.0,0.0,30.0,0.0,2021.0,10.0,12.0
"educación y capacitación","presencial","quito","pichincha",6.0,95.0,180.0,0.0,0.0,30.0,0.0,2018.0,10.0,3.5
"educación y capacitación","presencial","quito","pichincha",35.0,42.0,12600.0,0.0,0.0,360.0,0.0,2021.0,2.0,2.0
"educación y capacitación","presencial","quito","pichincha",35.0,42.0,14000.0,0.0,0.0,400.0,0.0,2021.0,2.0,2.0
"comunicación y artes gráficas","online","guayaquil","guayas",573.0,655.0,17190.0,0.0,0.0,30.0,0.0,2021.0,2.0,4.111111111111111
"alimentación gastronomía y turismo","presencial","pastaza","pastaza",20.0,36.0,4000.0,0.0,0.0,200.0,0.0,2018.0,3.0,3.5
"electricidad y electrónica","presencial","cuenca","azuay",2.0,108.0,50.0,0.0,0.0,25.0,0.0,2021.0,5.0,7.0
"electricidad y electrónica","presencial","cuenca","azuay",47.0,108.0,846.0,0.0,0.0,18.0,0.0,2021.0,5.0,5.0
"electricidad y electrónica","online","cuenca","azuay",3.0,108.0,90.0,0.0,0.0,30.0,0.0,2021.0,5.0,5.0
"electricidad y electrónica","presencial","cuenca","azuay",53.0,80.0,1908.0,0.0,0.0,36.0,0.0,2018.0,4.0,4.0
"electricidad y electrónica","presencial","cuenca","azuay",37.0,71.0,1332.0,0.0,0.0,36.0,0.0,2019.0,3.0,3.0
"procesos industriales","presencial","rumiñahui","pichincha",30.0,438.0,360.0,0.0,0.0,12.0,0.0,2021.0,8.0,9.44186046511628
"alimentación gastronomía y turismo","presencial","rumiñahui","pichincha",129.0,438.0,5160.0,0.0,0.0,40.0,0.0,2021.0,8.0,8.0
"procesos industriales","presencial","rumiñahui","pichincha",131.0,227.0,5240.0,0.0,0.0,40.0,0.0,2018.0,3.0,3.0
"procesos industriales","presencial","quito","pichincha",4.0,42.0,200.0,0.0,0.0,50.0,0.0,2021.0,4.0,3.0
"procesos industriales","presencial","quito","pichincha",27.0,42.0,4050.0,0.0,0.0,150.0,0.0,2021.0,4.0,3.5
"mecánica industrial y minería","presencial","quito","pichincha",7.0,42.0,1050.0,0.0,0.0,150.0,0.0,2021.0,4.0,2.0
"procesos industriales","presencial","santo domingo","santo domingo de los tsachilas",1.0,20.0,40.0,0.0,0.0,40.0,0.0,2021.0,2.0,3.0
